judul_lagu;artist;mood;link_play
To the Bone;Pamungkas;Happy;https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
Runtuh;Feby Putri;Sad;https://open.spotify.com/track/6Hii26x3qDErVitnGW8QtO
Hati-Hati di Jalan;Tulus;Calm;https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
Bertaut;Nadin Amizah;Sad;https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
Monokrom;Tulus;Sad;https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL
Sisa Rasa;Mahalini;Sad;https://open.spotify.com/track/6pmo9ha8iOPZc5lxPU9o8w
Selamat (Selamat Tinggal);Virgoun;Sad;https://open.spotify.com/track/1mruWrUwAVe2XkksUQiaHK
Lantas;Juicy Luicy;Sad;https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
Blue Jeans;GANGGA;Sad;https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
Tak Ingin Usai;Keisya Levronka;Sad;https://open.spotify.com/track/1b0aDgrG775i4sPQgJGmkU
Dandelions;Ruth B.;Energetic;https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
Secukupnya;Hindia;Happy;https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
Komang;Raim Laode;Sad;https://open.spotify.com/track/2AaaE0qvFWtyT8srKNfRhH
Melawan Restu;Mahalini;Sad;https://open.spotify.com/track/6shEr6AgLBDlfYlax2UzzL
Sempurna;Andra & The Backbone;Sad;https://open.spotify.com/track/7oEm5Q1virEUB9H0XjWZzF
Sial;Mahalini;Sad;https://open.spotify.com/track/6dXiWwFrcGieqnoLYzPNp5
double take;dhruv;Sad;https://open.spotify.com/track/47isJpIIO8m7BJEhiFhnaf
happier;Olivia Rodrigo;Sad;https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
Here's Your Perfect;Jamie Miller;Sad;https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
Duka;Last Child;Energetic;https://open.spotify.com/track/5MIpcd16T59wFeqAChSYwC
Pesan Terakhir;Lyodra;Sad;https://open.spotify.com/track/3FwQ3RYYEekzjEeL3jdpUZ
I Love You So;The Walters;Sad;https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
Rumah Singgah;Fabio Asher;Sad;https://open.spotify.com/track/6raMBnVBIvvUngMLyDdzyP
Kukira Kau Rumah;Amigdala;Calm;https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
Rumah Ke Rumah;Hindia;Calm;https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
Tak Segampang Itu;Anggi Marito;Sad;https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU
Merasa Indah;Tiara Andini;Sad;https://open.spotify.com/track/3Ysf0Y3iu23mrDsVh1mdu0
Ghost;Justin Bieber;Energetic;https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
Kisah Sempurna;Mahalini;Sad;https://open.spotify.com/track/6gB7kLGZNkf5tkvWkzSGKR
Asmalibrasi;Soegi Bornean;Sad;https://open.spotify.com/track/3TFdXrYIubXABQh0CxIiSs
Evaluasi;Hindia;Energetic;https://open.spotify.com/track/2dIBMHByUGcNPzmYBJ6OAj
Here With Me;d4vd;Sad;https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr
Heather;Conan Gray;Sad;https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
Untuk Perempuan Yang Sedang Di Pelukan;Payung Teduh;Sad;https://open.spotify.com/track/0urpBLpcm6DOGzs86rcKd8
Waktu Yang Salah;Fiersa Besari;Sad;https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
One Only;Pamungkas;Sad;https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
I Love You but I'm Letting Go;Pamungkas;Sad;https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
As It Was;Harry Styles;Happy;https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Tertawan Hati;Awdella;Sad;https://open.spotify.com/track/3i0h88q1HBtbdIg2bPxs54
Reckless;Madison Beer;Sad;https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
Langit Abu-Abu;Tulus;Sad;https://open.spotify.com/track/2FaquTc3FYvNm7RuO1gD6O
if u could see me cryin' in my room;Arash Buana;Sad;https://open.spotify.com/track/13sOb9V6Y3uCnRxY9HIZqP
Angel Baby;Troye Sivan;Energetic;https://open.spotify.com/track/3wlLknnMtD8yZ0pCtCeeK4
Glimpse of Us;Joji;Sad;https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ
traitor;Olivia Rodrigo;Sad;https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
Kau Rumahku;raissa anggiani;Sad;https://open.spotify.com/track/7nQoDLkzCcoIpKPQt3eCdN
Bertahan Terluka;Fabio Asher;Sad;https://open.spotify.com/track/62sancAaHEMwPxBuatzaay
Seandainya;Vierra;Happy;https://open.spotify.com/track/4zDsTPzY7Nm7rYKvszjKYL
Cinta Dan Rahasia;Yura Yunita;Sad;https://open.spotify.com/track/4HXUMRdT6s6Am6YHcWmuib
Tutur Batin;Yura Yunita;Sad;https://open.spotify.com/track/1k1e4Amkn7hIFrEthtazqT
Night Changes;One Direction;Sad;https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
Kill Bill;SZA;Energetic;https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8
Mesin Waktu;Budi Doremi;Sad;https://open.spotify.com/track/4ZX6ww7kJCABHIDQfy9Bmd
It's Only Me - Studio Version;Kaleb J;Sad;https://open.spotify.com/track/2CoxJRIhTKvHyFIq9FcDO5
Kenangan Manis;Pamungkas;Happy;https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
lowkey;NIKI;Sad;https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
Sang Dewi;Lyodra;Sad;https://open.spotify.com/track/5fDCy4Hse30ZsjaTUGKVh5
Pelangi;Hivi!;Sad;https://open.spotify.com/track/3ZwqWrRpylU9nfy99qwKdR
Someone You Loved;Lewis Capaldi;Sad;https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
Until I Found You;Stephen Sanchez;Sad;https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
L;Hal;Sad;https://open.spotify.com/track/5zsVcDTZEKISPTCLYiTdwb
Interaksi;Tulus;Sad;https://open.spotify.com/track/32Pdf9eyXDEMoClEJW6yYP
Say You Won't Let Go;James Arthur;Sad;https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
Serana;For Revenge;Energetic;https://open.spotify.com/track/09eWF5r8kasfOEp8RFRQLv
Dan...;Sheila On 7;Happy;https://open.spotify.com/track/1MdjZzEInrmDBXf8zs0nKS
Garis Terdepan;Fiersa Besari;Sad;https://open.spotify.com/track/7vbZI0mSwt6rpsnAoAAUns
Monolog;Pamungkas;Calm;https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
Halu;Feby Putri;Sad;https://open.spotify.com/track/3iszMeG87RxYujbKieNNRQ
Hingga Tua Bersama;Rizky Febian;Sad;https://open.spotify.com/track/5b0NpyYAwW2dUGL08ir7Bg
Diri;Tulus;Sad;https://open.spotify.com/track/2qgjqbi96IAOBzZFC6H57U
Tanpa Tergesa;Juicy Luicy;Sad;https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
Memories;Maroon 5;Calm;https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
Easy On Me;Adele;Sad;https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Resah Jadi Luka;Daun Jatuh;Calm;https://open.spotify.com/track/2sULdMKWdBdK2ZtntuFvSb
Stuck with U (with Justin Bieber);Ariana Grande;Sad;https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
Those Eyes;New West;Sad;https://open.spotify.com/track/50x1Ic8CaXkYNvjmxe3WXy
It's You;Sezairi;Sad;https://open.spotify.com/track/7rdnB5DAyPbaj51TCQRcqW
Muak;Aruma;Sad;https://open.spotify.com/track/3N2WeXxSjngB1DSi8vrI8C
Tak Kan Hilang;Budi Doremi;Sad;https://open.spotify.com/track/1USA6DXJ1qsucoKnDu4vnu
Dunia Tipu-Tipu;Yura Yunita;Sad;https://open.spotify.com/track/0mMqopQJOWADJSPRMYkvTF
